prefecture_id,english_name,japanese_name,japanese_kana_name,town_name,area,perimeter,elevation
沖縄県,tokashikijima Island,渡嘉敷島,とかしきじま,渡嘉敷村,15.31,,
沖縄県,izenajima Island,伊是名島,いぜなじま,伊是名村,14.13,,
沖縄県,haterumajima Island,波照間島,はてるまじま,竹富町,12.73,,
沖縄県,kitadaitoujima Island,北大東島,きただいとうじま,北大東村,11.91,,
沖縄県,kuroshima Island,黒島,くろしま,竹富町,10.02,,
沖縄県,yagajishima Island,屋我地島,やがじしま,名護市,7.82,,
沖縄県,agunijima Island,粟国島,あぐにじま,粟国村,7.62,,
沖縄県,zamamijima Island,座間味島,ざまみじま,座間味村,6.7,,
沖縄県,miyagijima Island,宮城島,みやぎじま,うるま市,5.54,,
沖縄県,henzajima Island,平安座島,へんざじま,うるま市,5.44,,
沖縄県,taketomijima Island,竹富島,たけとみじま,竹富町,5.43,,
沖縄県,tonakijima Island,渡名喜島,となきじま,渡名喜村,3.58,,
沖縄県,kourijima Island,古宇利島,こうりじま,今帰仁村,3.17,,
沖縄県,sesokojima Island,瀬底島,せそこじま,本部町,2.99,,
沖縄県,ikemajima Island,池間島,いけまじま,宮古島市,2.8,,
沖縄県,minnashima Island,水納島,みんなしま,多良間村,2.16,,
沖縄県,hamahigashima Island,浜比嘉島,はまひがしま,うるま市,2.09,,
沖縄県,tsukenjima Island,津堅島,つけんじま,うるま市,1.88,,
沖縄県,aragusukujimakamiji Island,新城島（上地）,あらぐすくじま（かみぢ）,竹富町,1.76,,
沖縄県,ikeijima Island,伊計島,いけいじま,うるま市,1.72,,
沖縄県,maeshima Island,前島,まえしま,渡嘉敷村,1.59,,
沖縄県,kudakajima Island,久高島,くだかじま,南城市,1.36,,
沖縄県,sotobanarijima Island,外離島,そとばなりじま,竹富町,1.32,,
沖縄県,gerumajima Island,慶留間島,げるまじま,座間味村,1.15,,
沖縄県,okidaitoujima Island,沖大東島,おきだいとうじま,北大東村,1.15,,
沖縄県,nohojima Island,野甫島,のほじま,伊平屋村,1.08,,
沖縄県,miyagijima Island,宮城島,みやぎじま,大宜味村,0.24,,
沖縄県,oujima Island,奥武島,おうじま,南城市,0.23,,
沖縄県,senagajima Island,瀬長島,せながじま,豊見城市,0.18,,
沖縄県,akashima Island,阿嘉島,あかしま,座間味村,3.8,,
沖縄県,oujima Island,奥武島,おうじま,久米島町,0.63,,
沖縄県,ohajima Island,オーハ島,おーはじま,久米島町,0.37,,
沖縄県,oogamijima Island,大神島,おおがみじま,宮古島市,0.24,,
沖縄県,kurimajima Island,来間島,くりまじま,宮古島市,2.84,,
沖縄県,shimojishima Island,下地島,しもじしま,宮古島市,9.68,,
沖縄県,minnashima Island,水納島,みんなしま,多良間村,2.16,,
沖縄県,kohamajima Island,小浜島,こはまじま,竹富町,7.86,,
沖縄県,kayamajima Island,嘉弥真島,かやまじま,竹富町,0.39,,
沖縄県,aragusukujimashimoji Island,新城島（下地）,あらぐすくじま（しもじ）,竹富町,1.57,,
沖縄県,yubujima Island,由布島,ゆぶじま,竹富町,0.15,,
沖縄県,hatomajima Island,鳩間島,はとまじま,竹富町,0.96,,
