prefecture_id,english_name,japanese_name,japanese_kana_name,town_name,area,perimeter,elevation
広島県,hashirijima Island,走島,はしりじま,福山市,2.11,,
広島県,tashima Island,田島,たしま,福山市,8.51,,
広島県,yokoshima Island,横島,よこしま,福山市,4.03,,
広島県,momoshima Island,百島,ももしま,尾道市,3.13,,
広島県,mukaishima Island,向島,むかいしま,尾道市,22.16,,
広島県,iwashijima Island,岩子島,いわしじま,尾道市,2.42,,
広島県,hosojima Island,細島,ほそじま,尾道市,0.76,,
広島県,innoshima Island,因島,いんのしま,尾道市,35.02,,
広島県,sagijima Island,佐木島,さぎじま,三原市,8.71,,
広島県,kosagijima Island,小佐木島,こさぎじま,三原市,0.5,,
広島県,ikuchijima Island,生口島,いくちじま,尾道市,31.19,,
広島県,kouneshima Island,高根島,こうねしま,尾道市,5.59,,
広島県,ookunoshima Island,大久野島,おおくのしま,竹原市,0.7,,
広島県,chigirijima Island,契島,ちぎりじま,豊田郡大崎上島町,0.09,,
広島県,ikunoshima Island,生野島,いくのしま,豊田郡大崎上島町,2.25,,
広島県,oosakikamijima Island,大崎上島,おおさきかみじま,豊田郡大崎上島町,38.27,,
広島県,nagashima Island,長島,ながしま,豊田郡大崎上島町,1.04,,
広島県,oosakishimojima Island,大崎下島,おおさきしもじま,呉市,17.37,,
広島県,mikadojima Island,三角島,みかどじま,呉市,0.78,,
広島県,toyoshima Island,豊島,とよしま,呉市,5.64,,
広島県,itsukishima Island,斎島,いつきしま,呉市,0.7,,
広島県,ooshibajima Island,大芝島,おおしばじま,東広島市,1.69,,
広島県,kamikamagarijima Island,上蒲刈島,かみかまがりじま,呉市,18.79,,
広島県,shimokamagarijima Island,下蒲刈島,しもかまがりじま,呉市,7.98,,
広島県,nasakejima Island,情島,なさけじま,呉市,0.69,,
広島県,ninoshima Island,似島,にのしま,広島市南区,3.84,,
広島県,kanawajima Island,金輪島,かなわじま,広島市南区,1.05,,
広島県,etajimanoumijima Island,江田島・能美島,えたじま・のうみじま,江田島市,91.33,,
広島県,okinoshima Island,沖野島,おきのしま,江田島市,0.75,,
広島県,kurahashijima Island,倉橋島,くらはしじま,呉市,69.46,,
広島県,kashima Island,鹿島,かしま,呉市,2.63,,
広島県,itsukushima Island,厳島,いつくしま,廿日市市,30.33,,
広島県,atatajima Island,阿多田島,あたたじま,大竹市,2.39,,
山口県,hashima Island,端島,はしま,岩国市,0.67,,
山口県,hashirajima Island,柱島,はしらじま,岩国市,3.13,,
山口県,kuroshima Island,黒島,くろしま,岩国市,0.54,,
山口県,yashirojima Island,屋代島,やしろじま,大島郡周防大島町,128.49,,
山口県,kasasajima Island,笠佐島,かささじま,大島郡周防大島町,0.94,,
山口県,maejima Island,前島,まえじま,大島郡周防大島町,1.09,,
